age,gender,gender_open,ethnicity,ethnicity_open,Shoplifting_1,Trespassing_1,Speeding_1,Incitement to riot_1,Fake ID/Fraud_1,Suspended license_1,Drunk dirving_1,Domestic abuse_1,Embezzlement_1,Prank calling 911_1,Drug dealing_1,Graffiti/Vandalism_1,Burglary_1,Throw rocks at cars_1,Carry gun w/o permit_1,Car theft_1,Insider trading_1,Handling stolen good_1,Credit card fraud_1,Robbery_1,Refusing to cooperat_1,Helmet law_1,Carrying knife_1,Public drinking_1,Assault_1,Prostitution_1,Child support_1,Desertion_1
26,Male,,Asian,,5,5,7,8,5,7,5,7,7,6,7,7,7,7,8,7,7,6,7,6,7,5,8,7,8,7,6,7
63,Female,,Caucasian,,2,1,3,2,3,3,1,1,1,3,1,2,1,2,1,1,2,2,1,1,2,3,2,2,2,1,1,3
68,Male,,Caucasian,,1,1,2,1,1,2,1,3,1,3,2,1,2,1,1,2,1,1,1,1,2,2,1,3,1,1,1,1
36,Female,,Caucasian,,4,5,6,6,5,5,5,6,5,5,5,5,5,5,8,6,5,5,3,8,7,6,7,5,9,5,5,5
30,Male,,Caucasian,,3,3,4,3,4,3,3,1,5,2,4,3,3,3,3,4,4,4,3,2,3,3,6,4,3,2,2,6
29,Male,,Caucasian,,5,6,5,6,5,5,5,2,2,7,5,5,6,6,7,7,5,5,5,5,5,7,7,7,8,5,5,6
23,Male,,Caucasian,,4,3,3,6,3,5,5,6,4,6,5,6,5,5,5,5,3,5,5,6,6,6,5,5,4,4,5,5
36,Male,,Black/African,,5,5,5,5,4,5,2,2,5,3,5,5,5,2,5,5,5,5,2,3,4,3,5,5,4,5,2,3
23,Male,,"Black/African,Caucasian",,2,5,5,5,5,5,1,1,2,1,5,2,2,2,3,3,1,2,1,1,6,5,5,5,6,2,1,1
30,Male,,Caucasian,,2,7,6,7,6,6,5,1,8,2,7,5,6,2,8,8,7,5,7,5,5,6,7,5,7,4,1,6
46,Female,,Caucasian,,7,7,6,7,6,6,,7,4,4,6,7,6,8,7,4,6,6,4,7,6,6,6,6,7,2,7,6
23,Female,,Caucasian,,1,5,5,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,5,5,1,1
51,Female,,Caucasian,,3,8,8,9,9,5,9,9,9,9,8,8,9,9,9,9,8,3,3,9,4,8,9,9,9,2,9,9
27,Female,,Hispanic/Latino,,3,4,7,9,5,9,9,9,6,6,9,5,9,9,5,9,4,9,8,9,6,6,9,6,8,5,9,5
38,Female,,Caucasian,,1,9,9,9,9,5,9,9,9,1,5,9,1,1,5,9,8,5,9,9,5,9,9,7,9,9,1,9
33,Male,,Black/African,,1,5,6,1,5,6,6,1,5,1,5,1,5,1,9,6,6,5,2,2,5,7,6,7,9,1,1,1
36,Female,,Caucasian,,8,4,5,8,2,7,7,4,6,1,7,1,7,6,1,5,8,7,3,3,7,1,9,8,3,4,8,1
49,Male,,Caucasian,,6,5,5,4,5,6,2,2,3,2,6,6,4,2,6,6,6,3,3,3,4,6,6,6,3,3,3,5
23,Male,,Caucasian,,7,7,3,3,3,7,4,6,5,,7,2,3,6,6,7,7,2,5,7,2,3,3,3,2,6,3,3
55,Female,,Caucasian,,2,6,6,8,5,5,5,6,7,2,7,3,7,8,7,8,8,6,2,8,3,5,7,6,8,2,3,2
41,Male,,Caucasian,,2,5,6,5,6,6,1,1,4,3,5,6,3,2,7,5,4,6,3,2,8,7,6,8,5,1,1,2
35,Female,,Caucasian,,6,5,6,3,2,4,3,1,2,2,2,4,2,2,2,2,3,4,3,3,6,2,2,7,3,3,2,4
25,Male,,Black/African,,6,5,6,4,3,5,3,6,4,6,5,5,3,7,3,5,5,6,4,5,5,5,6,5,4,5,5,5
30,Male,,Caucasian,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1
28,Male,,Asian,,1,1,9,9,1,9,9,1,5,1,9,1,9,9,9,1,9,1,9,9,9,5,5,1,9,9,5,1
36,Female,,Caucasian,,2,8,8,8,8,3,8,5,4,2,8,6,7,7,7,8,7,7,2,8,5,7,8,7,7,5,6,1
25,Male,,Hispanic/Latino,,5,2,9,8,2,4,1,9,3,1,9,7,8,8,9,8,1,9,6,9,7,8,9,7,9,1,5,9
45,Female,,Caucasian,,2,7,7,6,6,6,3,1,7,1,6,3,9,6,8,6,7,6,3,9,4,4,8,6,4,1,1,1
31,Female,,Caucasian,,2,2,4,6,6,7,3,3,3,3,5,7,6,4,6,7,7,1,8,8,,6,8,7,9,1,2,3
44,Male,,Caucasian,,5,5,5,8,8,5,5,8,5,5,8,8,7,8,9,8,8,9,2,9,7,8,8,5,9,2,8,5
38,Male,,Caucasian,,2,3,3,3,3,3,1,1,3,1,2,1,2,1,4,3,3,3,2,2,2,3,2,4,4,1,2,2
34,Female,,Caucasian,,2,1,6,8,1,2,7,4,5,3,5,5,4,3,5,7,7,7,2,9,8,5,1,7,4,8,2,9
32,Female,,Caucasian,,5,5,5,6,5,5,5,1,7,5,5,6,5,6,5,5,5,5,5,8,5,8,6,5,8,1,5,1
40,Female,,"Black/African,Caucasian",,5,5,5,5,5,5,5,4,5,5,6,5,6,5,6,7,5,5,5,6,5,6,5,5,5,5,7,5
32,Male,,Black/African,,5,5,6,5,6,7,5,2,7,3,6,6,5,5,7,5,6,5,5,6,6,8,8,6,5,1,8,5
33,Male,,Hispanic/Latino,,6,8,7,6,7,8,6,7,9,6,6,6,8,6,9,9,9,6,8,8,7,8,9,9,9,8,6,7
